signal_date,strategy,ticker,signal
2026-05-10,swing,HALO.JK,PRE_MARKUP
2026-05-10,swing,PGEO.JK,PRE_MARKUP
2026-05-10,swing,MPXL.JK,PRE_MARKUP
2026-05-10,swing,KLAS.JK,PRE_MARKUP
2026-05-10,swing,LOPI.JK,PRE_MARKUP
2026-05-10,swing,RGAS.JK,PRE_MARKUP
2026-05-10,swing,SURI.JK,PRE_MARKUP
2026-05-10,swing,GRPH.JK,PRE_MARKUP
2026-05-10,swing,HYGN.JK,PRE_MARKUP
2026-05-10,swing,LABS.JK,BREAKOUT
2026-05-10,swing,NEST.JK,PRE_MARKUP
2026-05-10,swing,NAIK.JK,PRE_MARKUP
2026-05-10,swing,CHEK.JK,PRE_MARKUP
2026-05-10,swing,KAQI.JK,PRE_MARKUP
2026-05-10,swing,FORE.JK,PRE_MARKUP
2026-05-10,swing,MDLA.JK,PRE_MARKUP
2026-05-10,swing,DKHH.JK,PRE_MARKUP
2026-05-10,swing,ASPI.JK,PRE_MARKUP
2026-05-10,swing,PIPA.JK,PRE_MARKUP
2026-05-10,swing,CGAS.JK,PRE_MARKUP
2026-05-10,swing,MSJA.JK,PRE_MARKUP
2026-05-10,swing,MANG.JK,PRE_MARKUP
2026-05-10,swing,KETR.JK,PRE_MARKUP
2026-05-10,swing,ADMF.JK,PRE_MARKUP
2026-05-10,swing,ADRO.JK,PRE_MARKUP
2026-05-11,swing,AKRA.JK,PRE_MARKUP
2026-05-11,swing,AMAG.JK,PRE_MARKUP
2026-05-11,swing,AUTO.JK,PRE_MARKUP
2026-05-11,swing,BCIP.JK,PRE_MARKUP
2026-05-11,swing,BDMN.JK,PRE_MARKUP
2026-05-11,swing,BJBR.JK,PRE_MARKUP
2026-05-11,swing,BJTM.JK,PRE_MARKUP
2026-05-11,swing,BNGA.JK,PRE_MARKUP
2026-05-11,swing,BRAM.JK,PRE_MARKUP
2026-05-11,swing,CFIN.JK,PRE_MARKUP
2026-05-11,swing,CLPI.JK,PRE_MARKUP
2026-05-11,swing,DEFI.JK,PRE_MARKUP
2026-05-11,swing,DGIK.JK,PRE_MARKUP
2026-05-11,swing,DSFI.JK,PRE_MARKUP
2026-05-11,swing,EPMT.JK,PRE_MARKUP
2026-05-11,swing,ERAA.JK,PRE_MARKUP
2026-05-11,swing,GGRM.JK,PRE_MARKUP
2026-05-11,swing,GJTL.JK,PRE_MARKUP
2026-05-11,swing,GSMF.JK,PRE_MARKUP
2026-05-11,swing,HEXA.JK,PRE_MARKUP
2026-05-11,swing,ICON.JK,PRE_MARKUP
2026-05-11,swing,IMJS.JK,PRE_MARKUP
2026-05-11,swing,IMPC.JK,PRE_MARKUP
2026-05-11,swing,IPOL.JK,PRE_MARKUP
2026-05-11,swing,JKON.JK,PRE_MARKUP
2026-05-11,swing,JTPE.JK,PRE_MARKUP
2026-05-11,swing,LPGI.JK,PRE_MARKUP
2026-05-11,swing,LPIN.JK,PRE_MARKUP
2026-05-11,swing,MAPI.JK,BREAKOUT
2026-05-11,swing,MDIA.JK,PRE_MARKUP
2026-05-11,swing,MIDI.JK,PRE_MARKUP
2026-05-11,swing,MLPL.JK,PRE_MARKUP
2026-05-11,swing,NIKL.JK,PRE_MARKUP
2026-05-11,swing,PADI.JK,PRE_MARKUP
2026-05-11,swing,PANS.JK,PRE_MARKUP
2026-05-11,swing,PKPK.JK,PRE_MARKUP
2026-05-11,swing,PNLF.JK,PRE_MARKUP
2026-05-11,swing,PTSP.JK,PRE_MARKUP
2026-05-11,swing,RBMS.JK,PRE_MARKUP
2026-05-11,swing,RICY.JK,PRE_MARKUP
2026-05-11,swing,SAME.JK,PRE_MARKUP
2026-05-11,swing,SDRA.JK,PRE_MARKUP
2026-05-11,swing,SMAR.JK,PRE_MARKUP
2026-05-11,swing,SMSM.JK,PRE_MARKUP
2026-05-11,swing,TALF.JK,PRE_MARKUP
2026-05-11,swing,TBMS.JK,PRE_MARKUP
2026-05-11,swing,TOTL.JK,PRE_MARKUP
2026-05-11,swing,ULTJ.JK,PRE_MARKUP
2026-05-11,swing,UNIC.JK,PRE_MARKUP
2026-05-11,swing,WINS.JK,PRE_MARKUP
2026-05-11,swing,JGLE.JK,PRE_MARKUP
2026-05-11,swing,OASA.JK,PRE_MARKUP
2026-05-11,swing,POWR.JK,PRE_MARKUP
2026-05-11,swing,PRDA.JK,PRE_MARKUP
2026-05-11,swing,MINA.JK,PRE_MARKUP
2026-05-11,swing,MPOW.JK,PRE_MARKUP
2026-05-11,swing,MARK.JK,PRE_MARKUP
2026-05-11,swing,PBID.JK,PRE_MARKUP
2026-05-11,swing,GHON.JK,PRE_MARKUP
2026-05-11,swing,PRIM.JK,PRE_MARKUP
2026-05-11,swing,TCPI.JK,PRE_MARKUP
2026-05-11,swing,IPCC.JK,PRE_MARKUP
2026-05-11,swing,BPTR.JK,PRE_MARKUP
2026-05-11,swing,LAND.JK,PRE_MARKUP
2026-05-11,swing,MOLI.JK,PRE_MARKUP
2026-05-11,swing,PANI.JK,PRE_MARKUP
2026-05-11,swing,URBN.JK,PRE_MARKUP
2026-05-11,swing,PEHA.JK,PRE_MARKUP
2026-05-11,swing,EAST.JK,PRE_MARKUP
2026-05-11,swing,KOTA.JK,PRE_MARKUP
2026-05-11,swing,OPMS.JK,PRE_MARKUP
2026-05-11,swing,ESIP.JK,PRE_MARKUP
2026-05-11,swing,REAL.JK,PRE_MARKUP
2026-05-11,swing,TAMA.JK,PRE_MARKUP
2026-05-11,swing,KBAG.JK,PRE_MARKUP
2026-05-11,swing,CSMI.JK,PRE_MARKUP
2026-05-11,swing,CASH.JK,PRE_MARKUP
2026-05-11,swing,EPAC.JK,PRE_MARKUP
2026-05-11,swing,ENZO.JK,PRE_MARKUP
2026-05-11,swing,BANK.JK,PRE_MARKUP
2026-05-11,swing,NPGF.JK,PRE_MARKUP
2026-05-11,swing,FLMC.JK,PRE_MARKUP
2026-05-11,swing,UVCR.JK,PRE_MARKUP
2026-05-11,swing,BOBA.JK,PRE_MARKUP
2026-05-11,swing,DEPO.JK,PRE_MARKUP
2026-05-11,swing,WMPP.JK,PRE_MARKUP
2026-05-11,swing,DRMA.JK,PRE_MARKUP
2026-05-11,swing,NTBK.JK,PRE_MARKUP
2026-05-11,swing,ASHA.JK,PRE_MARKUP
2026-05-11,swing,KRYA.JK,PRE_MARKUP
2026-05-11,swing,GULA.JK,PRE_MARKUP
2026-05-11,swing,KKES.JK,PRE_MARKUP
2026-05-11,swing,TOOL.JK,PRE_MARKUP
2026-05-11,swing,OMED.JK,PRE_MARKUP
2026-05-11,swing,CBRE.JK,PRE_MARKUP
2026-05-11,swing,VAST.JK,PRE_MARKUP
2026-05-11,swing,HALO.JK,PRE_MARKUP
2026-05-11,swing,PGEO.JK,PRE_MARKUP
2026-05-11,swing,MPXL.JK,PRE_MARKUP
2026-05-11,swing,KLAS.JK,PRE_MARKUP
2026-05-11,swing,LOPI.JK,PRE_MARKUP
2026-05-11,swing,RGAS.JK,PRE_MARKUP
2026-05-11,swing,SURI.JK,PRE_MARKUP
2026-05-11,swing,GRPH.JK,PRE_MARKUP
2026-05-11,swing,HYGN.JK,PRE_MARKUP
2026-05-11,swing,LABS.JK,BREAKOUT
2026-05-11,swing,NEST.JK,PRE_MARKUP
2026-05-11,swing,NAIK.JK,PRE_MARKUP
2026-05-11,swing,CHEK.JK,PRE_MARKUP
2026-05-11,swing,KAQI.JK,PRE_MARKUP
2026-05-11,swing,FORE.JK,PRE_MARKUP
2026-05-11,swing,MDLA.JK,PRE_MARKUP
2026-05-11,swing,DKHH.JK,PRE_MARKUP
2026-05-11,swing,ASPI.JK,PRE_MARKUP
2026-05-11,swing,PIPA.JK,PRE_MARKUP
2026-05-11,swing,CGAS.JK,PRE_MARKUP
2026-05-11,swing,MSJA.JK,PRE_MARKUP
2026-05-11,swing,MANG.JK,PRE_MARKUP
2026-05-11,swing,KETR.JK,PRE_MARKUP
2026-05-11,swing,ADMF.JK,PRE_MARKUP
2026-05-11,swing,ADRO.JK,PRE_MARKUP
2026-05-12,swing,AALI.JK,PRE_MARKUP
2026-05-12,swing,BCIP.JK,PRE_MARKUP
2026-05-12,swing,BDMN.JK,PRE_MARKUP
2026-05-12,swing,BJBR.JK,PRE_MARKUP
2026-05-12,swing,BJTM.JK,PRE_MARKUP
2026-05-12,swing,BNLI.JK,PRE_MARKUP
2026-05-12,swing,BRAM.JK,PRE_MARKUP
2026-05-12,swing,BTON.JK,PRE_MARKUP
2026-05-12,swing,CFIN.JK,PRE_MARKUP
2026-05-12,swing,CLPI.JK,PRE_MARKUP
2026-05-12,swing,DMAS.JK,PRE_MARKUP
2026-05-12,swing,DUTI.JK,PRE_MARKUP
2026-05-12,swing,EPMT.JK,PRE_MARKUP
2026-05-12,swing,GGRM.JK,PRE_MARKUP
2026-05-12,swing,GJTL.JK,BREAKOUT
2026-05-12,swing,GSMF.JK,PRE_MARKUP
2026-05-12,swing,HEXA.JK,PRE_MARKUP
2026-05-12,swing,ICON.JK,PRE_MARKUP
2026-05-12,swing,INCO.JK,BREAKOUT
2026-05-12,swing,IPOL.JK,PRE_MARKUP
2026-05-12,swing,KBLM.JK,PRE_MARKUP
2026-05-12,swing,LPIN.JK,PRE_MARKUP
2026-05-12,swing,MAPI.JK,PRE_MARKUP
2026-05-12,swing,MICE.JK,PRE_MARKUP
2026-05-12,swing,MIDI.JK,PRE_MARKUP
2026-05-12,swing,MLBI.JK,PRE_MARKUP
2026-05-12,swing,NIKL.JK,PRE_MARKUP
2026-05-12,swing,PADI.JK,PRE_MARKUP
2026-05-12,swing,PANS.JK,PRE_MARKUP
2026-05-12,swing,PNBN.JK,PRE_MARKUP
2026-05-12,swing,PNLF.JK,PRE_MARKUP
2026-05-12,swing,PYFA.JK,PRE_MARKUP
2026-05-12,swing,RBMS.JK,PRE_MARKUP
2026-05-12,swing,SAME.JK,PRE_MARKUP
2026-05-12,swing,SCCO.JK,PRE_MARKUP
2026-05-12,swing,SMSM.JK,PRE_MARKUP
2026-05-12,swing,TALF.JK,PRE_MARKUP
2026-05-12,swing,TINS.JK,PRE_MARKUP
2026-05-12,swing,TOTL.JK,PRE_MARKUP
2026-05-12,swing,TRST.JK,PRE_MARKUP
2026-05-12,swing,ULTJ.JK,PRE_MARKUP
2026-05-12,swing,UNIC.JK,PRE_MARKUP
2026-05-12,swing,WINS.JK,PRE_MARKUP
2026-05-12,swing,JGLE.JK,PRE_MARKUP
2026-05-12,swing,OASA.JK,PRE_MARKUP
2026-05-12,swing,POWR.JK,PRE_MARKUP
2026-05-12,swing,PRDA.JK,PRE_MARKUP
2026-05-12,swing,MINA.JK,PRE_MARKUP
2026-05-12,swing,MARK.JK,PRE_MARKUP
2026-05-12,swing,MORA.JK,PRE_MARKUP
2026-05-12,swing,PBID.JK,PRE_MARKUP
2026-05-12,swing,INPS.JK,PRE_MARKUP
2026-05-12,swing,DFAM.JK,PRE_MARKUP
2026-05-12,swing,PRIM.JK,PRE_MARKUP
2026-05-12,swing,MOLI.JK,PRE_MARKUP
2026-05-12,swing,PANI.JK,PRE_MARKUP
2026-05-12,swing,PAMG.JK,PRE_MARKUP
2026-05-12,swing,KOTA.JK,PRE_MARKUP
2026-05-12,swing,ESIP.JK,PRE_MARKUP
2026-05-12,swing,PGJO.JK,PRE_MARKUP
2026-05-12,swing,TAMA.JK,BREAKOUT
2026-05-12,swing,KBAG.JK,PRE_MARKUP
2026-05-12,swing,CSMI.JK,PRE_MARKUP
2026-05-12,swing,CASH.JK,PRE_MARKUP
2026-05-12,swing,EPAC.JK,PRE_MARKUP
2026-05-12,swing,BBSI.JK,PRE_MARKUP
2026-05-12,swing,ENZO.JK,PRE_MARKUP
2026-05-12,swing,VICI.JK,PRE_MARKUP
2026-05-12,swing,NPGF.JK,PRE_MARKUP
2026-05-12,swing,UVCR.JK,PRE_MARKUP
2026-05-12,swing,BOBA.JK,PRE_MARKUP
2026-05-12,swing,CMRY.JK,PRE_MARKUP
2026-05-12,swing,WMPP.JK,PRE_MARKUP
2026-05-12,swing,NTBK.JK,PRE_MARKUP
2026-05-12,swing,ASHA.JK,PRE_MARKUP
2026-05-12,swing,KRYA.JK,PRE_MARKUP
2026-05-12,swing,KKES.JK,BREAKOUT
2026-05-12,swing,TOOL.JK,PRE_MARKUP
2026-05-12,swing,VTNY.JK,PRE_MARKUP
2026-05-12,swing,CBRE.JK,PRE_MARKUP
2026-05-12,swing,HALO.JK,PRE_MARKUP
2026-05-12,swing,MPXL.JK,PRE_MARKUP
2026-05-12,swing,KLAS.JK,PRE_MARKUP
2026-05-12,swing,RGAS.JK,PRE_MARKUP
2026-05-12,swing,SURI.JK,PRE_MARKUP
2026-05-12,swing,GRPH.JK,PRE_MARKUP
2026-05-12,swing,HYGN.JK,PRE_MARKUP
2026-05-12,swing,NEST.JK,PRE_MARKUP
2026-05-12,swing,ASPR.JK,PRE_MARKUP
2026-05-12,swing,CHEK.JK,PRE_MARKUP
2026-05-12,swing,KAQI.JK,PRE_MARKUP
2026-05-12,swing,FORE.JK,PRE_MARKUP
2026-05-12,swing,MDLA.JK,PRE_MARKUP
2026-05-12,swing,DKHH.JK,PRE_MARKUP
2026-05-12,swing,ASPI.JK,PRE_MARKUP
2026-05-12,swing,CGAS.JK,PRE_MARKUP
2026-05-12,swing,MSJA.JK,PRE_MARKUP
2026-05-12,swing,MANG.JK,PRE_MARKUP
2026-05-12,swing,KETR.JK,PRE_MARKUP
2026-05-12,swing,ADMF.JK,PRE_MARKUP
2026-05-12,swing,ADRO.JK,PRE_MARKUP
2026-05-13,swing,AKRA.JK,PRE_MARKUP
2026-05-13,swing,AUTO.JK,PRE_MARKUP
2026-05-13,swing,BBTN.JK,PRE_MARKUP
2026-05-13,swing,BCIP.JK,PRE_MARKUP
2026-05-13,swing,BDMN.JK,PRE_MARKUP
2026-05-13,swing,BJBR.JK,PRE_MARKUP
2026-05-13,swing,BJTM.JK,PRE_MARKUP
2026-05-13,swing,CEKA.JK,PRE_MARKUP
2026-05-13,swing,CFIN.JK,PRE_MARKUP
2026-05-13,swing,CLPI.JK,PRE_MARKUP
2026-05-13,swing,DEFI.JK,PRE_MARKUP
2026-05-13,swing,DLTA.JK,PRE_MARKUP
2026-05-13,swing,DMAS.JK,PRE_MARKUP
2026-05-13,swing,EMDE.JK,PRE_MARKUP
2026-05-13,swing,EPMT.JK,PRE_MARKUP
2026-05-13,swing,GGRM.JK,PRE_MARKUP
2026-05-13,swing,GJTL.JK,PRE_MARKUP
2026-05-13,swing,GSMF.JK,PRE_MARKUP
