date,ticker,ma20,ma50,ma200,ma_full_alignment,ma_partial_alignment,slope_ma20,golden_cross,price_vs_ma200,rsi14,macd,macd_signal,macd_histogram,roc5,roc20,high_52w,pct_from_52w_high,atr14,atr_breakout,vol_ratio_20d,vol_spike,obv_trend,atr_pct,bb_width,hist_vol_20d,supertrend_bullish,stoch_rsi_k,stoch_rsi_d,adx,adx_pos,adx_neg,squeeze_on,vwap_20d,price_vs_vwap,close,volume,trend_score,momentum_score,breakout_score,volume_score,penalty_score,news_score,foreign_score,total_score,enhanced_total_score,signal,entry_low,entry_high,tp_low,tp_high,cutloss,trade_setup_status
2026-05-19,LCKM.JK,125.9,129.76,209.74,False,False,5.800000000000011,False,-28.482883570134454,62.087091713094686,-2.3828830415099844,-4.674395012089791,2.2915119705798066,36.36363636363635,29.31034482758621,440.0,-65.9090909090909,20.894817907872895,True,3.682405101989701,True,True,13.929878605248597,45.73183800452307,189.01072788935278,True,39.306836180080104,15.3606135540305,22.94492354241903,31.134181971338798,15.691555845442446,False,137.72754517144014,8.91067564827601,150.0,442536200,4.0,10.0,5.0,10.0,0.0,5.0,5.0,6.25,6.25,WATCH,143,149,157,162,138,active
2026-05-19,BDMN.JK,4179.0,3144.2888916015627,2563.7117553710937,True,True,462.0,False,72.01621792156813,64.41950718624861,382.67552059050195,422.27984098728456,-39.60432039678261,0.4555808656036442,69.61538461538461,4930.0,-10.547667342799189,262.76455175620475,False,0.4403972109467206,False,True,5.9583798584173415,32.70220244116928,130.54236340443038,True,6.796365843473619,2.781775175846578,49.00174333609504,37.770668695053836,17.203821706882756,False,4179.856705096775,5.506009204157554,4410.0,10464800,10.0,8.0,2.0,5.0,0.0,5.0,5.0,5.75,5.75,WATCH,4190,4370,4600,4760,4050,active
2026-05-19,CFIN.JK,344.1,336.08,325.12,True,True,0.7000000000000455,False,3.961614173228345,44.90854027847746,2.138144041276746,3.0939710681761543,-0.9558270268994082,-3.4285714285714253,-2.3121387283236983,360.0,-6.111111111111111,8.61729193822349,False,2.485078411484747,False,True,2.549494656279139,5.573715591854439,21.95060407468119,True,28.167046180196635,53.077824725090835,27.12382862574679,16.009117758262278,22.174627515857395,False,344.7970972796546,-1.9713325121590857,338.0,5096200,10.0,5.0,2.0,10.0,0.0,5.0,5.0,5.75,5.75,WATCH,336,334,342,348,330,low_rr
2026-05-19,DYAN.JK,85.55,83.34,87.6,False,True,1.7999999999999972,False,6.1643835616438425,57.21835951238992,2.438302855768754,1.0551034228657128,1.383199432903041,13.414634146341452,12.04819277108433,112.0,-16.964285714285715,6.487147637256923,False,2.576200918546394,True,False,6.975427566942928,28.38206505791344,120.19556480994886,True,59.476002616794496,56.56062466507707,39.81731673993969,43.25582882524354,6.277051415224897,False,90.42580555405807,2.846747596185948,93.0,37035400,10.0,10.0,0.0,5.0,0.0,5.0,5.0,5.75,5.75,WATCH,88,92,97,100,85,active
2026-05-19,ISAT.JK,2137.0,2119.8,2125.15,False,True,66.0,False,4.463214361339196,53.77655662035866,62.67248668457296,41.778258868581894,20.894227815991066,-5.531914893617018,9.90099009900991,2600.0,-14.615384615384617,101.14907144024802,False,1.1799700921772063,False,True,4.556264479290451,28.092960532349416,43.42534068795436,True,72.19525102880394,87.88165060771864,24.729431792027544,27.621632084087555,21.52099688586547,False,2117.3958092892385,4.845772824364065,2220.0,17840900,9.0,9.0,2.0,5.0,0.0,5.0,5.0,5.75,5.75,WATCH,2140,2200,2290,2350,2080,active
2026-05-19,PGLI.JK,227.3,217.36,253.92,False,True,2.200000000000017,False,-14.146187775677374,47.116568383653025,0.056228302947374686,1.8485436585808832,-1.7923153556335085,2.8301886792452935,3.809523809523818,540.0,-59.62962962962963,21.852949435801616,False,2.1482642949863124,False,True,10.024288732019091,21.007928258466315,104.57766876236182,True,26.373632648960005,31.846311063751777,39.08327076419829,29.100977075851166,13.198122060300102,False,244.5550785919004,-10.858526735490132,218.0,3343000,10.0,7.0,0.0,10.0,0.0,5.0,5.0,5.75,5.75,WATCH,218,216,236,248,206,active
2026-05-19,JGLE.JK,80.35,67.68,38.49,True,True,4.5,False,123.4346583528189,62.10056657465392,5.085996469363266,5.421141162053896,-0.33514469269062985,13.157894736842103,26.470588235294112,99.0,-13.131313131313133,4.647438921446536,False,1.152716051872132,False,True,5.403998745868066,24.50351632539494,86.3881374649062,False,38.96726326972444,32.92405910585202,16.865423002994966,36.82077952157087,31.857660587603874,False,79.97331091721978,7.535875423512774,86.0,114904200,10.0,8.0,2.0,5.0,0.0,5.0,5.0,5.75,5.75,WATCH,82,85,90,93,79,active
2026-05-19,PRIM.JK,85.45,77.22,80.72,False,True,3.6000000000000085,False,7.77998017839445,54.205326129030546,3.366325641504332,3.3035135970961833,0.0628120444081488,-3.3333333333333326,14.473684210526304,116.0,-25.0,7.573886352527583,False,0.32926991278620693,False,True,8.705616497158141,24.02800041980245,82.61747353188605,True,25.76547043121909,24.161289312027613,44.24157683731547,38.57017621425675,9.874012047561504,False,94.82651725879212,-8.253511238246455,87.0,32877800,10.0,10.0,0.0,5.0,0.0,5.0,5.0,5.75,5.75,WATCH,85,86,93,97,81,active
2026-05-19,DRMA.JK,987.3166656494141,947.3666662597657,953.2216650390625,False,True,11.933334350585938,False,4.907393177957255,60.85340542666023,13.082819369763683,13.239222019334617,-0.15640264957093386,1.0101010101010166,2.0408163265306145,1120.00004359654,-10.714289189775062,22.29007358791925,False,0.5251343239212282,False,True,2.229007358791925,4.086675661739642,17.585096074982246,True,47.630203222799366,39.396632367270804,29.97616216521209,27.5374029532588,9.296927100329007,False,979.6054186207011,2.0819179836729305,1000.0,1554500,10.0,8.0,2.0,5.0,0.0,5.0,5.0,5.75,5.75,WATCH,985,990,1010,1025,975,active
2026-05-19,HYGN.JK,150.5,146.5,157.13,False,True,4.0,False,-0.719149748615793,58.71904573606884,3.574956996082392,2.7025101863987473,0.8724468096836446,0.6451612903225712,9.859154929577475,197.0,-20.812182741116754,7.810454099665817,False,0.4150475561592911,False,True,5.006701345939627,16.56605134059587,33.49763807114888,True,74.10465159286397,86.05836246731856,65.00482675519079,34.44377436847474,10.894624095973299,False,157.31442232234323,-0.8355383460328464,156.0,3463300,10.0,10.0,0.0,5.0,0.0,5.0,5.0,5.75,5.75,WATCH,151,154,161,166,146,active
